gauge_id;ghi_stn_id;cwc_site_name;river_basin;cwc_river;ghi_group;flow_availability
03001;goda_allam;Allamvari Ghanpur;Godavari;Jampanavagu;G2;2.58
03002;goda_ambab;Ambabal;Godavari;Godavari/Indravati/Narangi;G1;54.93
03003;goda_ambga;Ambgaon (Bagdi);Godavari;Godavari/Pranhita/Wainganga/Chulband;G2;0.0
03004;goda_asega;Asegaon;Godavari;Godavari/Pranhita/Wardha/Penganga;G2;0.0
03005;goda_ashti;Ashti;Godavari;Godavari/Pranhita/Wainganga;G1;95.16
03006;goda_bakha;Bakhari;Godavari;Godavari/Pranhita/Wainganga;G2;0.0
03007;goda_balag;Balaghat;Godavari;Godavari/Pranhita/Wainganga;G2;0.0
03008;goda_bamni;Bamni;Godavari;Godavari/Pranhita/Wardha;G1;94.88
03009;goda_betmo;Betmogrra;Godavari;Godavari/Manjira/Manar;G1;47.37
03010;goda_bhadr;Bhadrachalam;Godavari;Godavari;G2;20.97
03011;goda_bhain;Bhainsa;Godavari;Godavari/Suddha Vagu;G2;0.0
03012;goda_bhand;Bhandara;Godavari;Godavari/Pranhita/Wainganga;G2;0.01
03013;goda_bhatp;Bhatpalli;Godavari;Godavari/Pranhita/Peddavagu;G1;78.54
03014;goda_bhisn;Bhisnur;Godavari;Godavari/Pranhita/Wardha;G2;42.48
03015;goda_bichu;Bichubagu;Godavari;Godavari/Pranhita/Sobhana;G2;0.0
03016;goda_binax;Bina;Godavari;Godavari/Pranhita/Wainganga/Kanhan;G2;0.0
03017;goda_cherr;Cherribeda;Godavari;Godavari/Indravati/Bardha;G1;49.01
03018;goda_chind;Chindnar;Godavari;Godavari/Indravati;G1;90.07
03019;goda_deglo;Degloor;Godavari;Godavari/Manjira/Lendi;G1;72.87
03020;goda_dhale;Dhalegaon;Godavari;Godavari;G1;87.45
03021;goda_dharn;Dharna Dam;Godavari;Godavari/Dharna;G2;0.0
03022;goda_dowla;Dowlaiswaram;Godavari;Godavari;G2;0.0
03023;goda_dumma;Dummagudem;Godavari;Godavari;G2;0.0
03024;goda_gandl;Gandlapet;Godavari;Godavari/Peddavagu;G2;73.18
03025;goda_gang1;Gangakhed W/L Station;Godavari;Godavari;G2;0.0
03026;goda_gang2;Gangapur Dam;Godavari;Godavari;G2;0.0
03027;goda_garmi;Garmilapali;Godavari;Morenchavagu;G2;2.06
03028;goda_ghugu;Ghugus;Godavari;Godavari/Pranhita/Wardha;G1;63.05
03029;goda_grbri;G.R.Bridge;Godavari;Godavari;G1;89.41
03030;goda_hivra;Hivra;Godavari;Godavari/Pranhita/Wardha;G1;73.06
03031;goda_jagda;Jagdalpur;Godavari;Godavari/Indravati;G1;89.81
03032;goda_jaikw;Jaikwadi Dam;Godavari;Godavari;G2;0.0
03033;goda_jalap;Jalaput Dam;Godavari;Sabari;G2;0.0
03034;goda_janep;Janepally;Godavari;Manjeera;G2;0.0
03035;goda_jeera;Jeeraguda;Godavari;Kolab;G2;0.0
03036;goda_kales;Kaleswaram;Godavari;Godavari;G2;0.05
03037;goda_kamga;Kamgarpur;Godavari;Godavari/Pranhita/Penganga;G2;0.0
03038;goda_kanha;Kanhargaon;Godavari;Godavari/Pranhita/Wardha/Penganga;G1;57.95
03039;goda_kapsi;Kapsi;Godavari;Godavari/Pranhita/Wardha;G2;0.0
03040;goda_keola;Keolari;Godavari;Godavari/Pranhita/Wainganga;G1;78.39
03041;goda_kerla;Kerlapal;Godavari;Malenger;G2;3.16
03042;goda_kiwai;Kiwaibalenga;Godavari;Godavari/Indravati/Bawardhi;G2;8.05
03043;goda_koida;Koida;Godavari;Godavari;G1;64.48
03044;goda_kokri;Kokriwada;Godavari;Godavari/Pranhita/Pench/Kanhan;G2;0.0
03045;goda_konta;Konta;Godavari;Godavari/Sabari;G1;90.45
03046;goda_koper;Kopergaon;Godavari;Godavari;G2;6.34
03047;goda_kosag;Kosagumda;Godavari;Godavari/Indravati/Baskal;G2;43.04
03048;goda_kumha;Kumhari;Godavari;Godavari/Pranhita/Wainganga;G1;79.67
03049;goda_kunav;Kunavaram;Godavari;Godavari;G2;0.01
03050;goda_kuntu;Kunturla;Godavari;Machkund;G2;1.35
03051;goda_lasur;Lasur;Godavari;Godavari/Shiv;G2;2.13
03052;goda_lodhi;Lodhikheda;Godavari;Godavari/Pranhita/Jam/Wardha;G2;0.0
03053;goda_mahag;Mahagaon;Godavari;Godavari/Pranhita/Wardha/Pus;G2;0.0
03054;goda_mahal;Mahalgaon;Godavari;Godavari/Pranhita/Wainganga;G2;0.0
03055;goda_manch;Mancherial;Godavari;Godavari;G1;93.15
03056;goda_mangr;Mangrul;Godavari;Godavari/Pranhita/Wardha/Penganga/Aran;G1;59.98
03057;goda_mirda;Mirdapalli;Godavari;Godavari/Pranhita/Indravati;G2;56.17
03058;goda_mouda;Mouda;Godavari;Godavari/Pranhita/Waianganga/Kanhan;G2;0.0
03059;goda_mungo;Mungoli (Township);Godavari;Godavari/Pranhita/Penganga;G2;0.0
03060;goda_naga1;Nagaram;Godavari;Maner;G2;0.35
03061;goda_naga2;Nagari;Godavari;Godavari/Pranhita/Wardha/Pothra;G2;0.01
03062;goda_nainp;Nainpur;Godavari;Godavari/Pranhita/Thanwar;G2;0.0
03063;goda_nande;Nanded;Godavari;Godavari;G2;8.28
03064;goda_nandg;Nandgaon;Godavari;Godavari/Pranhita/Wardha/Wunna;G1;78.42
03065;goda_nasik;Nasik;Godavari;Godavari;G2;0.0
03066;goda_nizam;Nizam Sagar;Godavari;Godavari/Manjira;G2;0.0
03067;goda_nmdwi;NMD Wier;Godavari;Godavari;G2;0.0
03068;goda_nowra;Nowrangpur;Godavari;Godavari/Indravati;G1;90.34
03069;goda_pache;Pachegaon;Godavari;Godavari/Pravara;G2;38.09
03070;goda_patal;Patala;Godavari;Godavari/Pranhita/Wardha;G2;0.0
03071;goda_patha;Pathagudem;Godavari;Godavari/Indravati;G1;92.26
03072;goda_pauni;Pauni;Godavari;Godavari/Pranhita/Wainganga;G1;63.11
03073;goda_perur;Perur;Godavari;Godavari;G1;94.32
03074;goda_pgbri;P.G.Bridge;Godavari;Godavari/Pranhita/Wardha/Penganga;G2;84.11
03075;goda_polav;Polavaram;Godavari;Godavari;G1;94.03
03076;goda_potte;Potteru (Seasonal);Godavari;Godavari/Sabari/Potteru Vagu;G1;38.78
03077;goda_prata;Pratappur;Godavari;Pravara;G2;1.01
03078;goda_purad;Purad;Godavari;Godavari/Pranhita/Wardha/Nirguda;G2;0.0
03079;goda_purna;Purna;Godavari;Godavari/Purna;G2;73.87
03080;goda_rajah;Rajahmundry;Godavari;Godavari;G2;0.0
03081;goda_rajeg;Rajegaon;Godavari;Godavari/Pranhita/Bagh;G1;77.65
03082;goda_rajol;Rajoli;Godavari;Godavari/Pranhita/Wardha/Andhari/Mul;G1;74.01
03083;goda_ramak;Ramakona;Godavari;Godavari/Pranhita/Kanhan;G1;77.4
03084;goda_ruixx;Rui;Godavari;Godavari/Pranhita/Penganga/Kaydhu;G2;0.0
03085;goda_saiga;Saigaon;Godavari;Godavari/Manjira;G2;56.14
03086;goda_sakhr;Sakhra;Godavari;Godavari/Pranhita/Wainganga;G2;0.0
03087;goda_sakmu;Sakmur;Godavari;Godavari/Pranhita/Wardha;G1;60.46
03088;goda_sakol;Sakoli Bridge;Godavari;Godavari/Pranhita//Wainganga/Chulband;G2;0.0
03089;goda_saleb;Salebardi;Godavari;Godavari/Pranhita/Wainganga/Chulband;G1;73.16
03090;goda_saloo;Saloora;Godavari;Manjeera;G2;1.0
03091;goda_sang2;Sangam (Murredu);Godavari;Godavari/Kinnerasani/Murredu;G2;30.9
03092;goda_sarad;Saradaput;Godavari;Godavari/Sabari;G1;89.98
03093;goda_sarek;Sarekha;Godavari;Godavari/Pranhita/Hirri;G2;0.0
03094;goda_satra;Satrapur;Godavari;Godavari/Pranhita/Wainganga/Kanhan;G1;79.85
03095;goda_selux;Selu;Godavari;Godavari/Pranhita/Wardha/Bor;G2;0.0
03096;goda_singu;Singur;Godavari;Godavari/Manjira;G2;0.0
03097;goda_sirim;Sirimoda;Godavari;Kolab;G2;0.11
03098;goda_soman;Somanpally (Seasonal);Godavari;Godavari/Maner;G1;83.73
03099;goda_sonar;Sonarpal;Godavari;Godavari/Indravati/NarangiMarkandi;G1;59.78
03100;goda_srira;Sriram Sagar;Godavari;Godavari;G2;0.0
03101;goda_sukma;Sukma;Godavari;Godavari/Sabari;G2;0.06
03102;goda_talna;Talnar;Godavari;Sabari;G2;0.52
03103;goda_tekra;Tekra;Godavari;Godavari/Pranhita/Pranhita;G1;92.87
03104;goda_temni;Temni;Godavari;Godavari/Pranhita/Son;G2;0.0
03105;goda_tumna;Tumnar;Godavari;Godavari/Indravati/Dantewara;G1;61.81
03106;goda_uppe2;Upper Indravati Dam;Godavari;Indravati;G2;0.0
03107;goda_waira;Wairagarh;Godavari;Godavari/Pranhita/Wainganga/Khobragarhi;G1;58.37
03108;goda_waras;Waraseoni;Godavari;Godavari/Pranhita/Chandan;G2;0.0
03109;goda_yelli;Yelli;Godavari;Godavari;G1;89.67
03110;goda_zarix;Zari;Godavari;Godavari/Purna Dudhna;G2;36.89
04001;kris_almat;Almatti dam;Krishna;Krishna;G2;0.0
04002;kris_anant;Anantharam;Krishna;Aleru;G2;5.53
04003;kris_arjun;Arjunwad (Seasonal);Krishna;Krishna;G1;87.35
04004;kris_bawap;Bawapuram;Krishna;Krishna/Tungabhadra;G1;95.0
04005;kris_byala;Byaladahalli;Krishna;Krishna/Tungabhadra/Tunga;G1;69.66
04006;kris_chola;Cholachugudda;Krishna;Krishna/Malaprabha;G1;72.42
04007;kris_damer;Dameracherla;Krishna;Krishna/Musi;G1;95.26
04008;kris_daund;Daund;Krishna;Krishna/Bhima;G1;0.0
04009;kris_deong;Deongaon Bridge;Krishna;Krishna/Bhima;G2;0.0
04010;kris_deosu;Deosugur;Krishna;Krishna;G1;8.39
04011;kris_doddi;Doddipadu;Krishna;Hundri;G2;9.44
04012;kris_halia;Halia;Krishna;Krishna/Halia;G1;84.35
04013;kris_haral;Haralahalli;Krishna;Krishna/Tungabhadra;G1;92.89
04014;kris_harih;Hariharapura;Krishna;Krishna/Tungabhadra/Tunga;G2;0.01
04015;kris_holeh;Holehonnur;Krishna;Krishna/Tungabhadra/Tunga;G1;35.04
04016;kris_honna;Honnali;Krishna;Krishna/Tungabhadra;G2;78.74
04017;kris_huvin;Huvinhedigi;Krishna;Krishna;G1;94.32
04018;kris_jeewa;Jeewangi;Krishna;Krishna/Bhima/Kagna;G1;64.47
04019;kris_kagra;K. Agraharam;Krishna;Krishna;G1;63.51
04020;kris_kalma;Kalmane;Krishna;Krishna/Tungabhadra/Malathi;G2;0.01
04021;kris_karad;Karad;Krishna;Krishna;G1;95.04
04022;kris_keesa;Keesara;Krishna;Krishna/Munneru;G1;95.36
04023;kris_kello;Kellodu;Krishna;Krishna Tungabhadra/Vedavathi;G1;61.99
04024;kris_kokan;Kokangaon;Krishna;Krishna/Bhima/Borinala;G1;66.53
04025;kris_kuppe;Kuppellur;Krishna;Krishna Tungabhadra/Kumudavathi;G1;58.87
04026;kris_kurun;Kurundwad;Krishna;Krishna;G1;95.54
04027;kris_lakka;Lakkavalli;Krishna;Krishna/Tungabhadra/Bhadra;G2;0.01
04028;kris_madhi;Madhira;Krishna;Krishna/Munneru/Wyra;G1;84.42
04029;kris_mahis;Mahishi;Krishna;Krishna/Tungabhadra/Tunga;G2;0.01
04030;kris_malkh;Malkhed;Krishna;Krishna/Bhima/;G1;69.54
04031;kris_mantr;Mantralayam;Krishna;Krishna/Tungabhadra;G1;94.72
04032;kris_marol;Marol;Krishna;Krishna Tungabhadra/Varada;G1;67.39
04033;kris_miraw;Mirawadi;Krishna;Mula;G2;1.41
04034;kris_mudho;Mudhol;Krishna;Krishna/Ghatprabha;G1;23.6
04035;kris_munug;Munugodu;Krishna;Eddu Vagu;G2;4.33
04036;kris_nagar;Nagarjuna Sagar Dam;Krishna;Krishna;G2;0.0
04037;kris_nandr;Nandre;Krishna;Yerla;G2;1.36
04038;kris_narsi;Narsingpur;Krishna;Krishna/Bhima;G1;95.3
04039;kris_naval;Navalagund;Krishna;Krishna/Malaprabha/Bennihalla;G1;36.71
04040;kris_oolle;Oollenur;Krishna;Krishna/Tungabhadra;G1;56.64
04041;kris_paler;Paleru Bridge;Krishna;Krishna/Paleru;G1;78.95
04042;kris_parag;Paragon;Krishna;Bhima;G2;0.0
04043;kris_pdjur;P.D. Jurala;Krishna;Krishna;G2;0.0
04044;kris_phulg;Phulgaon (Seasonal);Krishna;Krishna/Bhima;G1;54.59
